SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
50,RL,60,10287,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1979,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Mn,ALQ,LwQ,GasA,Ex,Y,SBrkr,847,437,0,1626,1,0,2,0,1,1,TA,6,Mod,0,,Detchd,1978,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,WD,Abnorml
20,RL,75,9753,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1950,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,243,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1444,0,0,2159,0,0,1,1,4,1,TA,7,Typ,0,,Attchd,1958,RFn,1,TA,TA,Y,0,0,275,0,0,0,,,Shed,500,4,2007,COD,Normal
20,RL,60,12453,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,1993,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1116,0,0,2496,1,0,2,0,3,1,Gd,6,Typ,0,,Detchd,2004,Unf,2,TA,TA,Y,0,42,0,0,0,0,,,,0,6,2009,WD,Normal
190,RH,60,6051,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Artery,Norm,2fmCon,1.5Fin,7,7,1968,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,TA,TA,Mn,LwQ,Unf,GasA,Gd,Y,SBrkr,938,745,0,2111,1,0,2,0,2,2,TA,7,Typ,1,Gd,Detchd,1910,Unf,2,TA,Fa,P,58,144,0,0,0,0,,,,0,6,2010,COD,Normal
80,RL,.,7753,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,6,5,2000,2002,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,781,641,0,2055,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2002,Fin,2,TA,TA,Y,122,0,0,0,0,0,,,,0,3,2009,WD,Normal
120,RL,24,2283,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1973,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,838,0,0,2224,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1975,Unf,1,TA,TA,Y,0,30,0,0,0,0,,,,0,6,2010,WD,Normal
20,RL,85,12636,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,1987,2007,Hip,CompShg,CemntBd,CmentBd,Stone,290,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1980,0,0,1502,1,0,2,0,2,1,Ex,7,Typ,1,Gd,Attchd,2007,Fin,3,TA,TA,Y,310,52,0,0,0,0,,,,0,5,2009,WD,Normal
20,RL,80,10200,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1940,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,1364,0,0,2404,1,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961,Unf,2,TA,TA,Y,0,20,0,0,0,0,,,,0,6,2008,COD,Normal
20,RL,75,8253,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,7,2008,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260,TA,TA,CBlock,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1094,0,0,1469,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1964,RFn,2,TA,Gd,Y,0,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal
50,RL,63,15567,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,1999,1995,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,678,589,0,2313,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1994,Unf,2,TA,TA,Y,426,0,0,0,0,0,,,Shed,400,1,2008,WD,Normal
160,RL,24,2283,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,8,6,2006,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,857,602,0,1433,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2,TA,TA,Y,175,0,0,0,0,0,,,,0,6,2010,WD,Normal
160,RM,21,1683,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,8,5,2007,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,158,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,485,505,0,1564,1,0,1,1,2,1,TA,5,Typ,0,,Detchd,1973,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD,Normal
90,RM,60,7203,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,SFoyer,7,5,1979,1980,Gable,CompShg,MetalSd,MetalSd,BrkFace,180,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,TA,Y,SBrkr,938,0,0,1525,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1980,Unf,2,TA,TA,Y,51,0,0,0,0,0,,,,0,8,2007,WD,Normal
50,RM,.,12361,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,7,6,2002,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,856,0,528,1410,0,0,1,1,2,1,TA,7,Typ,0,,Detchd,1991,Unf,2,TA,TA,Y,239,0,0,0,0,0,,,,0,5,2007,WD,Normal
120,RL,53,3925,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1260,0,0,1695,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007,Fin,3,TA,TA,Y,146,16,0,0,0,0,,,,0,6,2007,New,Partial
20,RL,54,13814,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,,6,1996,1987,Gable,CompShg,HdBoard,HdBoard,BrkFace,72,TA,TA,CBlock,Gd,Gd,No,GLQ,LwQ,GasA,Gd,Y,SBrkr,1139,0,0,1289,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1987,Unf,2,TA,TA,Y,127,0,0,0,0,0,,,,0,7,2006,WD,Normal
20,RL,74,9630,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1363,0,0,1615,0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007,RFn,2,TA,TA,Y,0,50,0,0,0,0,,,,0,6,2008,WD,Normal
120,RL,41,5333,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2004,2000,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1654,0,0,1647,1,0,2,0,2,1,Ex,6,Typ,0,,Attchd,2000,RFn,2,TA,TA,Y,98,48,0,0,0,0,,,,0,8,2007,WD,Normal
80,RL,.,9950,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,8,5,2007,1991,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1219,0,0,1652,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1990,Unf,2,TA,TA,Y,170,27,0,0,0,0,,GdPrv,,0,6,2009,WD,Normal
20,RL,56,18562,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,2006,1978,Hip,CompShg,Plywood,Plywood,BrkFace,383,Gd,Gd,CBlock,Gd,TA,No,GLQ,Rec,GasA,TA,Y,SBrkr,2066,0,0,1501,1,0,2,0,3,1,Gd,7,Typ,2,Fa,Attchd,1978,Fin,2,TA,TA,Y,202,0,0,0,0,0,,,,0,8,2008,WD,Normal
160,RM,24,1303,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,TwnhsE,2Story,8,6,1999,1980,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,563,669,0,1342,0,0,1,1,2,1,TA,5,Typ,1,TA,Attchd,1980,Fin,2,TA,TA,Y,152,0,0,0,0,0,,GdPrv,,0,5,2009,WD,Normal
20,RL,60,7183,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,7,2002,1972,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,TA,Y,SBrkr,866,0,0,1512,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1989,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2008,WD,Normal
20,RL,74,7788,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,2006,1956,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,Slab,,,,,,GasA,TA,Y,SBrkr,1016,0,0,1461,0,0,1,0,2,1,TA,6,Typ,0,,Attchd,1956,RFn,1,TA,TA,Y,0,0,40,0,200,0,,GdWo,,0,3,2008,WD,Normal
70,RM,60,9603,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1997,1990,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Gd,No,LwQ,Unf,GasA,Ex,Y,SBrkr,834,810,0,1683,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,1925,Unf,2,Fa,TA,Y,0,0,234,0,0,0,,,,0,8,2006,WD,Normal
60,RL,66,8741,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1994,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1007,1287,0,1851,0,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,1999,Fin,2,TA,TA,Y,194,0,0,0,0,0,,,,0,2,2006,WD,Normal
60,RL,82,9433,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,673,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,1270,1098,0,2286,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,1999,RFn,3,TA,TA,Y,0,128,0,0,180,0,,,,0,7,2009,WD,Normal
70,RM,60,6885,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,7,7,2007,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,775,583,0,1690,0,0,1,1,3,1,Gd,7,Typ,0,,,.,,0,,,Y,138,0,115,0,0,0,,,,0,3,2007,WD,Normal
120,RL,34,3904,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,9,5,2008,2006,Gable,CompShg,VinylSd,VinylSd,Stone,182,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,GasA,Ex,Y,SBrkr,1304,0,0,1457,1,0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,2005,RFn,2,TA,TA,Y,112,50,0,0,0,0,,,,0,8,2007,New,Partial
120,RM,35,3910,Pave,,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,6,2007,1989,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,1036,0,0,1616,1,0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1989,Fin,2,TA,TA,Y,143,36,0,0,0,0,,,,0,4,2010,WD,Normal
20,RL,76,8246,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1992,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,56,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,966,0,0,1732,0,0,1,0,3,1,TA,5,Typ,1,Fa,Detchd,1985,Fin,2,TA,TA,Y,172,0,0,0,0,0,,GdPrv,,0,2,2007,WD,Normal
60,RL,68,9275,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,858,894,0,1647,0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,1999,RFn,2,TA,TA,Y,142,85,0,0,0,0,,,,0,6,2006,WD,Normal
20,RL,80,8803,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1980,1966,Hip,CompShg,HdBoard,Plywood,BrkFace,202,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,1202,0,0,2674,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1966,RFn,2,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,10,2007,CWD,Normal
30,RL,67,5145,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,7,7,2005,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,951,344,0,1507,0,0,1,1,3,1,Gd,6,Typ,0,,Detchd,1923,Unf,1,TA,TA,N,0,0,183,0,0,0,,,,0,6,2008,WD,Normal
20,RL,80,10403,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,8,5,2006,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,1446,0,0,1657,0,0,2,0,2,1,TA,5,Typ,1,Gd,Attchd,1976,Unf,2,TA,TA,Y,0,24,0,0,0,0,,GdWo,,0,4,2008,WD,Normal
70,RM,60,3603,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,9,7,2007,1993,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseA,686,685,0,1531,0,0,1,0,3,1,TA,7,Typ,0,,Detchd,1930,Unf,1,TA,Fa,N,0,158,0,0,0,0,,,,0,10,2006,WD,Normal
30,RL,58,9101,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,7,7,2002,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,Mn,ALQ,Unf,GasA,Ex,Y,SBrkr,607,0,0,1612,1,0,1,0,2,1,TA,5,Typ,0,,,.,,0,,,N,0,0,144,0,0,0,,,,0,7,2007,WD,Normal
20,RL,67,8880,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,8,5,2007,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,Fa,Fa,No,LwQ,Unf,GasA,TA,Y,FuseF,1222,0,0,2089,0,0,1,0,2,1,TA,6,Typ,0,,Detchd,1951,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2006,COD,Normal
20,RL,115,10503,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,2000,1964,Gable,CompShg,HdBoard,HdBoard,Stone,144,TA,Gd,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,1294,0,0,2199,1,0,1,1,3,1,TA,6,Typ,2,Gd,Detchd,1964,Unf,2,TA,TA,Y,0,32,0,0,92,0,,,,0,7,2009,COD,Abnorml
50,RM,50,9003,Pave,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,8,6,2003,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,782,596,0,1993,0,0,1,1,3,1,Gd,6,Typ,1,Gd,Detchd,1979,Unf,1,TA,TA,P,0,162,0,0,126,0,,,,0,12,2007,WD,Normal
60,RL,95,13453,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,922,942,0,1959,1,0,2,1,3,1,Gd,8,Typ,0,,BuiltIn,2002,RFn,2,TA,TA,Y,148,91,0,0,0,0,,,,0,6,2006,WD,Normal
180,RM,35,3678,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,,5,2004,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,TA,TA,Wood,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,1074,0,0,,1,0,1,0,2,1,TA,5,Typ,0,,Basment,2005,Fin,2,TA,TA,Y,0,28,0,0,0,0,,,,0,4,2009,WD,Normal
20,RL,.,9822,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,5,2006,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,902,0,0,1635,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1970,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,2,2010,WD,Normal
70,RM,52,3071,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,8,2006,1993,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,664,663,0,1829,0,1,1,0,3,1,TA,6,Typ,0,,Detchd,1920,Unf,1,TA,TA,Y,0,0,112,0,0,0,,GdPrv,,0,2,2010,WD,Normal
60,RL,63,9732,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,700,1049,0,1978,1,0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,2007,Unf,3,TA,TA,Y,0,34,0,0,0,0,,,,0,6,2007,New,Partial
20,FV,62,7503,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,CemntBd,CmentBd,Stone,210,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1220,0,0,1652,1,0,2,0,2,1,Gd,6,Typ,0,,Attchd,2008,Fin,2,TA,TA,Y,170,168,0,0,0,0,,,,0,4,2008,New,Partial
80,RL,.,9641,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,SLvl,8,6,,1977,Hip,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,Rec,GasA,TA,Y,SBrkr,1119,0,0,2065,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1977,RFn,2,TA,TA,Y,294,0,0,0,0,0,,,,0,11,2008,WD,Normal
60,RL,96,10545,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1978,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1327,1094,0,2785,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,TA,TA,Y,252,154,216,0,0,0,,,,0,8,2008,WD,Normal
