SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,RL,.,11053,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,6,5,1968,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,204,Gd,TA,PConc,Ex,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,1478,678,0,2655,1,0,2,1,3,1,Ex,8,Typ,2,Ex,Attchd,2000,Fin,3,TA,TA,Y,255,142,0,0,0,0,,,,0,5,2009,WD,Normal
60,FV,.,7503,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,1936,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,816,861,0,2058,1,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2000,RFn,2,TA,TA,Y,0,96,0,0,0,0,,,,0,1,2010,WD,Normal
60,RL,85,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,1990,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,292,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1008,1041,0,2515,1,0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,2003,RFn,3,TA,TA,Y,322,62,0,0,0,0,,,,0,8,2008,WD,Normal
50,RL,89,11795,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,7,5,2007,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseF,794,329,0,1373,0,0,1,0,2,1,Fa,5,Typ,0,,Detchd,1956,Unf,2,TA,Fa,P,0,0,0,0,160,0,,,,0,6,2010,WD,Abnorml
30,RM,90,8103,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,6,1958,1973,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1561,0,0,1651,1,0,1,0,2,1,TA,5,Min,0,,Detchd,1948,Unf,2,TA,TA,Y,0,116,230,0,0,0,,GdWo,,0,6,2007,COD,Normal
60,RL,80,11587,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,8,6,2000,1979,Hip,CompShg,HdBoard,HdBoard,BrkFace,96,TA,TA,CBlock,TA,TA,No,GLQ,Rec,GasA,TA,Y,SBrkr,1042,686,0,2053,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1979,RFn,2,TA,TA,Y,0,88,216,0,0,0,,,,0,11,2007,WD,Normal
120,RL,24,2283,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,8,5,2000,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,LwQ,GasA,TA,Y,SBrkr,1057,0,0,1653,0,1,2,0,2,1,TA,4,Typ,1,Fa,Attchd,1975,RFn,2,TA,TA,Y,0,27,0,0,0,0,,,,0,8,2009,WD,Normal
180,RM,.,1536,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,8,5,2005,1970,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,532,463,0,1954,1,0,1,0,2,1,TA,4,Typ,0,,BuiltIn,1970,Fin,1,TA,TA,Y,114,97,0,0,0,0,,,,0,7,2007,WD,Normal
60,RL,58,13207,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,1998,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,610,851,0,2386,0,0,2,0,3,1,Gd,6,Typ,0,,BuiltIn,2007,Fin,2,TA,TA,Y,102,33,0,0,0,0,,,,0,5,2007,New,Partial
60,FV,65,8128,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,1957,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,860,859,0,1391,0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2005,RFn,2,TA,TA,Y,0,53,0,0,0,0,,,,0,2,2006,WD,Normal
50,RM,50,5928,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,8,6,2004,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,Fa,TA,No,LwQ,Rec,GasA,Gd,N,SBrkr,763,381,0,1619,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1930,Unf,1,Fa,Fa,Y,0,0,96,0,0,0,,,,0,5,2007,ConL,Normal
160,FV,24,2547,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,GasA,Ex,Y,SBrkr,602,601,0,1965,1,0,2,1,2,1,Gd,4,Typ,0,,Detchd,2004,RFn,2,TA,TA,Y,0,172,0,0,0,0,,,,0,2,2010,WD,Normal
80,RL,76,9883,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,6,2009,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,TA,Y,SBrkr,1120,0,0,1853,1,0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1977,Fin,1,TA,TA,Y,205,0,0,0,0,576,Gd,GdPrv,,0,7,2008,WD,Normal
70,RM,60,11343,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,1,2005,1950,Gable,CompShg,AsbShng,AsbShng,None,0,Fa,Fa,BrkTil,Fa,Fa,No,Unf,Unf,GasA,TA,N,SBrkr,725,364,0,1972,0,0,1,0,2,1,TA,5,Maj,0,,Detchd,1920,Unf,2,Fa,Po,N,0,24,144,0,0,0,,,,0,11,2008,ConL,Normal
20,RL,88,11446,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,208,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,2030,0,0,1686,1,0,2,0,2,1,Gd,7,Typ,2,Gd,Attchd,2005,RFn,3,TA,TA,Y,328,66,0,0,0,0,,,,0,3,2006,New,Partial
60,RL,80,10044,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,2008,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,929,989,0,2043,1,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1992,Fin,2,TA,TA,Y,122,150,0,0,0,0,,,,0,2,2006,WD,Abnorml
60,RL,80,9027,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,815,703,0,1849,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,2,TA,TA,Y,0,75,0,0,0,0,,,,0,7,2008,WD,Normal
20,RL,.,13287,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosN,Norm,1Fam,1Story,8,5,2006,1954,Gable,CompShg,Wd Sdng,Plywood,None,0,TA,TA,PConc,Gd,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,1385,0,0,1325,1,0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1954,Unf,1,TA,TA,Y,513,116,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal
20,RL,70,8053,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,6,2003,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,TA,Y,SBrkr,1109,0,0,2185,1,0,1,0,3,1,Gd,5,Typ,0,,Attchd,1967,RFn,1,TA,TA,Y,90,64,0,0,0,0,,,,0,3,2007,WD,Normal
70,RM,57,8097,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,6,2004,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,1050,721,0,1948,0,0,2,0,3,1,TA,8,Typ,0,,Detchd,1930,Unf,2,Fa,Fa,Y,0,0,150,0,0,0,,,,0,6,2009,WD,Normal
70,RM,50,9063,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,8,6,1998,1999,Gable,CompShg,Wd Sdng,Plywood,None,0,TA,TA,BrkTil,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,944,887,0,1917,0,0,2,0,3,1,Gd,6,Typ,0,,Detchd,.,,.,,,Y,176,0,212,0,0,0,,MnPrv,,0,3,2007,WD,Alloca
20,RL,114,10360,Pave,,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,8,5,2006,1991,Hip,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Gd,Y,SBrkr,1444,0,0,1637,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1990,Fin,2,TA,TA,Y,0,244,0,0,0,0,,,,0,5,2007,WD,Normal
30,RM,60,9789,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,8,4,2007,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,GasA,Fa,N,SBrkr,1079,0,0,1793,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1922,Unf,1,TA,Fa,P,0,100,48,0,0,0,,,,0,5,2006,WD,Normal
120,FV,35,4112,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,1980,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1559,0,0,2363,1,0,2,0,2,1,Ex,5,Typ,1,TA,Attchd,1999,RFn,2,TA,TA,Y,126,113,0,0,0,0,,,,0,6,2008,WD,Normal
60,RL,63,10931,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,1993,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,Gd,No,Unf,Unf,GasA,Ex,Y,SBrkr,730,729,0,2076,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2005,Fin,2,TA,TA,Y,102,0,0,0,0,0,,,,0,6,2009,WD,Normal
120,RL,.,5274,Pave,,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,6,5,1954,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,1455,0,0,2423,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,1986,RFn,2,TA,TA,Y,0,80,0,0,184,0,,,,0,12,2006,WD,Abnorml
60,FV,75,9378,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2002,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,914,1183,0,1990,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003,Fin,2,TA,TA,Y,184,182,0,0,0,0,,,,0,11,2009,WD,Normal
20,RL,.,17603,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,2006,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,FuseA,1480,0,0,1718,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,1960,Unf,2,TA,TA,Y,0,40,0,0,0,0,,,,0,12,2009,WD,Normal
120,RL,48,6243,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,176,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1344,0,0,1607,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007,Fin,2,TA,TA,Y,0,35,0,0,0,0,,,,0,6,2008,WD,Normal
90,RL,100,25003,Pave,,Reg,Low,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,8,4,,1967,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,Av,Unf,Unf,GasA,TA,Y,SBrkr,1634,0,0,2291,0,0,2,0,4,2,TA,8,Typ,0,,Attchd,1967,Unf,2,TA,TA,P,0,0,0,0,0,0,,,,0,6,2007,WD,Normal
85,RL,.,10467,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,6,6,1966,1980,Gable,CompShg,HdBoard,HdBoard,BrkFace,130,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,1104,0,0,1568,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1980,RFn,2,TA,TA,Y,142,22,0,0,0,0,,,,0,6,2006,WD,Normal
20,RL,78,11648,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2006,Gable,CompShg,VinylSd,VinylSd,Stone,76,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1500,0,0,1661,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005,Fin,3,TA,TA,Y,146,98,0,0,0,0,,,,0,3,2009,WD,Normal
20,RL,74,13011,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1920,1956,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Fa,Fa,No,Rec,Unf,GasA,TA,Y,SBrkr,884,0,0,2793,0,0,1,0,2,1,TA,5,Typ,0,,Attchd,1956,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD,Normal
60,RL,57,8776,Pave,,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,4,5,1954,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Gd,Y,SBrkr,918,685,0,1664,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997,Fin,2,TA,TA,Y,102,38,0,0,0,0,,,,0,8,2007,WD,Normal
20,RL,85,14085,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,2007,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,945,Gd,TA,PConc,Ex,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,2236,0,0,1601,1,0,1,1,1,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,2,TA,TA,Y,392,80,0,0,0,0,,,,0,1,2007,WD,Normal
50,RL,78,10499,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1967,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,320,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,GasA,Ex,Y,SBrkr,1170,679,0,2641,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1949,Unf,1,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,1,2007,WD,Normal
60,RL,70,11609,Pave,,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,8,5,2005,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192,TA,TA,PConc,Gd,TA,Av,Rec,Unf,GasA,TA,Y,SBrkr,1042,1041,0,1845,0,1,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969,Unf,2,TA,TA,Y,337,0,0,0,0,0,,,,0,9,2007,WD,Family
160,RM,36,2595,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,8,3,2007,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,No,Rec,BLQ,GasA,TA,Y,SBrkr,538,577,0,1862,0,0,1,1,3,1,TA,4,Typ,0,,Attchd,1976,Unf,1,TA,TA,Y,184,0,0,0,0,0,,,,0,4,2010,WD,Normal
190,RM,63,11429,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,6,6,1958,1996,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,Stone,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,830,659,108,,0,0,2,0,3,2,TA,9,Typ,0,,,.,,0,,,N,0,172,109,0,0,0,,,,0,6,2008,WD,Normal
50,RM,60,10803,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,PConc,Fa,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,968,687,0,2316,1,0,2,0,4,1,TA,7,Typ,0,,Detchd,1961,Unf,1,TA,TA,Y,0,0,196,0,0,0,,,Shed,1200,6,2010,WD,Normal
20,RL,73,9858,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,8,5,1935,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,1691,0,0,1874,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1956,Unf,2,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,11,2009,COD,Normal
20,RL,105,11754,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1941,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,1846,0,0,2134,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,TA,TA,Y,0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal
80,RL,80,9603,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,8,7,2002,1994,Hip,CompShg,Plywood,Plywood,BrkFace,360,Gd,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1096,762,0,2005,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976,RFn,2,TA,TA,Y,115,100,0,0,0,0,,,,0,8,2007,WD,Normal
50,RL,60,11103,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,,6,2008,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,Mn,LwQ,Unf,GasA,TA,N,SBrkr,1082,401,0,1659,1,0,1,0,4,1,TA,7,Typ,1,Gd,Attchd,1951,Unf,1,TA,TA,Y,0,0,68,0,0,0,,,,0,7,2007,WD,Normal
50,RM,50,7003,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,7,1957,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,Unf,GasA,Gd,Y,FuseA,722,496,0,1840,0,0,1,0,3,1,Gd,6,Typ,0,,Detchd,1965,Fin,2,TA,TA,Y,0,0,30,0,0,0,,MnPrv,,0,5,2007,WD,Normal
30,RL,85,19553,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,8,7,2004,2007,Flat,Tar&Grv,PreCast,PreCast,None,0,TA,TA,PConc,TA,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,1520,0,0,2374,1,0,1,0,2,1,Fa,5,Typ,2,Gd,,.,,0,,,Y,0,39,0,0,0,0,,,,0,1,2008,WD,Normal
50,RM,60,10323,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,8,7,1998,1995,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,758,714,0,2264,0,0,1,0,3,1,TA,7,Typ,0,,Detchd,1906,Unf,1,TA,TA,Y,59,0,239,0,0,0,,MnPrv,,0,6,2008,WD,Normal
20,RL,70,7948,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,6,2005,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,1152,0,0,1823,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959,RFn,1,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2006,WD,Normal
50,RL,.,7018,Pave,,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,4,2004,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,981,225,0,1531,1,0,1,0,3,1,Gd,5,Typ,1,TA,Detchd,1950,Unf,1,TA,TA,Y,0,0,248,0,0,0,,,,0,7,2009,WD,Normal
30,RM,60,8970,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,2,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Fa,BrkTil,Fa,Po,No,Unf,Unf,GasA,Gd,Y,Mix,1079,0,0,2321,0,0,1,0,2,1,TA,6,Maj,0,,Detchd,1920,Unf,1,Po,Po,N,0,0,0,0,0,0,,,,0,11,2007,WD,Abnorml
